id, opinion
0,  まずは「戦争をしたい人がいる」という大きな勘違いを正す必要がある。\n戦争は目的ではなく手段として行われるものであって、戦争を行う目的をまるで理解せずに「戦争をなくす」などといくら考えても無駄。\n戦争をしたくてするのではない。資源が欲しいから戦争をする。資源は平等でも無限でもないのだから、人類から戦争をなくすことは本質的に不可能。\n戦争をさせないことしかできない。\n
1,  軍隊保有、核武装または米軍の核持ち込み許可。平行して、経済交流の拡大、経済力を手駒に、敵対国との外交チャンネル維持・強化。
2,  国防に充分な軍備、日米安全保障条約の維持、米国の了承を得ての核武装も検討すべき
3,  常に戦の準備をしておけ。\n
4,  戦時における軍部の失策をしっかりと伝え二度と失策が起きないように啓蒙する。戦死者の多くは餓死であり、軍部の現地調達主義と精神論が生んだ悲劇であるということをキチンと伝えていく必要がある。それでもなお戦争に向かっていくのなら、先の大戦よりは悲惨な目に合わないだろう。しかし、そういったことを否定しているうちは戦争なんて絶対にやったらいけない。
5,  周辺諸国との軍事力のバランスを保つことで攻められることは減ると思うのでGDP比から見て過剰にならない範囲で国防を整えることによって攻められる確率は減ると考えられる\nそして戦争を仕掛ける原因は内政と外交の失敗からなので外交力にも力を入れる例えば領土問題は戦争のきっかけと成りうるので素早く解決するとか味方を多くするように立ち回るなどしっかりと戦略を持って外交を行う内政ではまず投票率が半分切ってるとかいう情けない状況を変える。そしてマスコミにすぐ騙されないようにつまりプロパガンダにすぐ引っ掛からないようにしっかりと情報リテラシーが身に付くように教育から変えていくそして貧しい人が多い状況だとヒトラーのような扇動家に引っ掛かりやすいので物事を深く考える余裕のある人たちを増やす必要がある\nこういうように国の仕組みからしっかり変えていかないうちに戦争反対を唱えてもお花畑で終わってしまうので思想だけでなく人々の根底から変えていかないといけないと思います。
6,  先ず前提として、戦争の構造を国民一人一人がしっかりと理解する必要があります。\n\n領土拡大の侵略戦争から戦争物資大量消費による景気浮揚戦争の側面が強くなってきています。\n\n戦争を作り出し利益を得ている人間が社会からいなくなれば新たな戦争は起きません。\n\n日露戦争以降、戦争や、今の戦争や内戦なども、国家間同士、民族同士を対立させる構造を作っている演出家(既得権益者)がいて戦争を発生させていることを知らなければなりません。\n\nその前提でアメリカ、ロシアの二代大国による利権の争いに巻き込まれて戦争は起きています。\n\nその大国もまた、一部の人間や組織に支配されています。\n\n大国の財閥やイルミナティ、FRBの解体が急務ですが、組織が巨大で、力も強いので、一政府や、大統領の程度の権限では解体は出来ません。\n\n本来なら、極東アジアの日本、中国、韓国などが、それらの力に対峙しなければならないのですが、時すでに遅し、二代大国により、この三国はいがみ合うように、構造を作り変えられました。\n\nつまり、それらの構造を理解した上で対策を講じてる法案を作らなければ、戦争を無くすることは絵空事になると思います。
7,  全人類を何かによって統率してもらう
8,  欲を捨てる
9,  核兵器を包有し、アメリカ第七艦隊以上の軍事能力を保有する。ロボット（無人兵器）を量産して、制空権と制海権を確保する。
10,  現在の平和憲法を守り改憲はしない。しかし法律の元で自衛隊の活動に流動性を持たせ、攻撃されないためにも、国民に理解されうる一定の戦力アップは認める。
11,  第二次世界大戦時に日本が何をしたかを明らかにし、きちんと反省し、二度と繰り返さないためにどうするかを考える、そういう行政や教育にしていく。
12,  自衛隊を国際レスキュー隊としての活動にシフトさせていき、徐々に武力放棄。\n民間でも他国と積極的に連携を取り、徹底的に平和国家を貫く。\n「軍隊が無い日本だけどもし攻めたら世界中からバッシングされる」という心理を防衛力にする。
13,  世界でただひとつの被爆国日本だからこそ、「核保有」の権利を行使すべきです。きれいごとやお人好しのいい人ぶった生き方は好きですが、国を守り、国民を危機に陥らせないためには、「日本に手出しはすべきでない」という、権威といざというときの武力は持つべきです。「持っていても使わない」は、「持たずに使えない」とはまったく「重み｣がちがいます。現実的には「核武装」ありだと思います。\n
14,  政府が国防体制をしっかりと整えることで、戦争を牽制（けんせい）する。
15,  食料、水、再生エネルギーの自給に力を入れる。\n\nすべての戦争は「食えないこと」から始まるので。
16,  世界から日本以外の国家を無くす
17,  総理大臣が、スイスのように、永世中立国の宣言をする。
18,  鎖国！
19,  過去の行いを無かったことにしないで、明らかにし、みんなで反省すること。
20,  今のままでいい。\n自国を主張しすぎず、あっちを立てたり、こっちを立てたり。情けなく見えるかもしれないけれど、それが１番戦争に巻き込まれずに、うまく逃げていられる。\nこのまま、現状維持出来れば万々歳！
21,  他人(他国)を尊敬する
22,  十分な軍備と十分な農業(食料自給率の向上)。\nただし、軍備を十分にするからと言って、他国との緊張を高めては結局国民を守ったことにならない。\n協調外交は死守しつつ、水面下ではかっちりと軍備する、という両刀使いが重要。\n\nまた、他国の戦争に巻き込まれないように工夫すべき。他国の戦争に軍を派遣する仕組みは不要。せっかく棚ぼたでアメリカから便利な(他国の戦争に知らんぷりして自国民の命の犠牲を避けても後ろ指さされないような)憲法をもらったのだから、その利点は生かすべき。
23,  護憲派の立場として、言論活動で戦争の芽を摘み、実質的に憲法九条を守りたいのであるから、現在の左翼活動のような自国政府への非難だけを行うのではなく、隣国が実施している反日教育を中止させるように自ら働きかける。他国の非難を国是にするなんて姑息ではないかと粘り強く説得すべきである。\n\n逆に改憲派は、今のままでは国民投票で5割をとる事の難易度を理解し、過去の戦争体験の分析と反省を日本国民に対して謙虚に実施し、自国軍隊の膨張の再現がなされないための歯止めを自ら国民に提示すべきである。例えば、今後自然発生した島などを除き現在の自国領土を国外に拡大するなどという事が起こり得ないような歯止め条項の明文化を行い、それであるならば現在の九条の極端な内容を解いても大丈夫だと自国民に感じさせる事。これが改憲派の義務である。
24,  ひとりひとりが、世界の宝でもある、\n日本国憲法第９条を知り、理解し、広め、\n戦争にNOを言い続けられる唯一の国の民として、\n揺るぎない信念をもって、未来永劫、在り続ける。
25,  何故戦争が起きたのか、誰が仕掛けたのか、それをきちんと教育する。\n金や利権が絡まない戦争など無いことに気付くべき。
26,  ぱよちんには死んでもらう\n
27,  文化交流と経済交流を深めて、武力による破壊行動がデメリットになる関係を作る。\n付和雷同して流されるのではなく、国民一人一人がきちんと考えること。
28,  罪を憎んで人を憎まずという言葉があるように戦争という行為が虐殺、原爆などを生み出したのだから、戦争というもの世界中の人達があたかも他人事のように過ごさず重く受け止めること。
29,  拡大主義を続ける近隣諸国と話し合いのテーブルにつける程度の軍備は最低限必要である。\n\nただし、国のサイズや人口比からロシアや中国に日本一国で対抗することは非現実的であるため、アメリカや考えの合うアジア諸国とも共同し結び付きを強めることで戦争の抑止を目指す。
30,  「日本を敵に回すと甚大な被害を被る」と言われるような経済、防衛、外交を推し進める。\n今の国内情勢では他国の領土に武力で攻め入るなんて右も左も100%反対しそうだし、ゆくゆくはアメリカも含め日本の地に他国の軍隊を一歩も入れさせないようにするのが大事。
31,  国連とアメリカが核兵器を各国に配り、相互確証破壊による安全保障をくまなく張り巡らせ中国とドイツが自由貿易協定を推進する。
32,  人をやめてより抽象的な存在になる。
33,  国が、政治や憲法についての教育にお金をかける。\n研究者にお金をかける。
34,  過去を正しく知る努力を惜しまないことが大切。国策として行った植民地支配と侵略戦争に伴う差別と凌辱を未来永劫我が身の恥として心に刻み込むことが必要。そして身近にいる歴史修正主義者を許さないことだと思う。\nそのためには学校教育に人権教育と平和教育を取り戻さねばならない。\n何よりも現政権のような政治を許さない国民運動を盛り上げていきたい。
35,  金融リテラシーを向上しろ\n全ては金融で動いてる\n\n学校で習う歴史はでたらめだ\nそれを認識しろ
36,  １００億年を超えるスケールで眺める。
37,  投票率を90%に上げる。\n利己的な政治家を排除する。\nそのためには義務教育から政治について活発な意見を戦わせる環境を整備する。\nナショナリズムを疑う、冷静な判断力を身につけた人間が外交を行う。\n子供の頃からたくさんの国について、文化を学べるような環境整備をする。\n周辺諸国と交流することで互いに文化的な理解を深める。\n
38,  戦後、米国GHQに植え付けられた自虐史観を「全世代」が捨てること。\n軍事学を子供の頃から教育すること。\n日本が戦争したくなくても、戦争を仕掛ける国が存在することや、話し合いの出来る国と、話し合いの出来ない国が存在することを「全世代」がきちんと理解すること。\n平和を叫べば、それだけで願いが叶うとい花畑のような、愚かな思想を「全世代」が捨てること。\n憲法改正により、自衛隊を正規の国防軍とすること。\n日本が核装備のオプションを選択して実行すること。\n自分の国は自分で守るのが【当たり前の国家の姿】であることを「全世代」が理解すること。
39,  アメリカに頼らない独自の抑止力を持ちつつ新たなエネルギー資源の開発と友好国への厚い支援を継続する
40,  我が国が他国に戦争を仕掛けない。それは当然の話。同時に他国から戦争を仕掛けられない工夫も必要。\n\n憲法を改正し、専守防衛を維持しつつも自衛隊の立場を向上させ、他国から舐められない国作りが急務である。
41,  喧嘩を売るような発言をせず、冷静に相手とコミュニケーションをとる\nわざわざ衝突しにいくような言動・行動は避ける\n\n争いをなくすってことは、きっと些細な日常のコミュニケーションの取り方も気をつけるべきなんだと思う。
42,  政治家の外交努力。\nほかに何があるっていうの。
43,  核兵器及び軍隊の保持
44,  差別や明らかに倫理に反することをやろうとする人を軽蔑する高尚な空気を、国内海外いずれにも醸成する。\n世界で黄色人種が差別され、軍縮強要もあり、日本は満州へ行った。\n自国で反省するだけじゃ、戦争はなくならない。あの頃欧米諸国はアジアをなめてた。
45,  自分たちから戦争を始めない。\n巻き込まれないためには、よその争いに過度に口を出さない。十分すぎるほどのお金を軍事に費やしているのだからアメリカとの関係を断つ。これだけ軍事が整っている国に早々では出さないでしょうし、攻撃を受けたときにだけ自衛隊が対処すれば良い。
46,  どの地域の戦争かにもよりますが、極端な緊張状態を起こさないために、世界中の首脳に顔が効くように、あらゆる取引をし、相手が欲しい物を持つように努力する。武力で相手を脅して言うことを聞かそうとするのは、あまりレベルは高くないと思います。
47,  人間をやめる！\n全ての人類が消滅する。
48,  家庭平和から世界平和へ！
49,  自衛隊中心の国防体制を充分に取り、できれば核武装まで行い、日本を侵略しようと意図している周辺国に対し、「侵攻したら痛い目に合う」と思わせること、これに限ります。\n
50,  なるべく広く多民族の移民を受け入れ、従来のいわゆる純粋の日本人が国民の１０％以下になることを目標に混血を推し進める。アジア諸国に同様の政策を勧め、最終的に国民国家を解体、アジア圏共同体を形成し、領土’および民族問題を意味がないものにしまう。
51,  自衛隊は軍として地位を明確にし、他国への抑止力とする。なお先制攻撃を受けるのが明確な際にはこれを抑止する行動、すなわち適地先制攻撃を行う。
52,  武力には武力で抵抗すると言う考え方を改める。\n
53,  大国の戦争は需要を作り出し、敵を国外にいるものと自国民に思わせるために行われてきた説を採択したい。\n資本主義、社会主義に変わる新しい経済制度を議論する。\nまた歴史認識について、新たに明らかになった事実の検証をきっちり行い、偏りのない認識、場合によっては「修正」を行う。\n
54,  トルストイは、屠殺場がなくならない限り、戦争はなくならない、と説いています。\n差別意識、弱いものイジメ、私欲の塊という点が共通だから。\n食肉は、環境も健康も壊します。\nhttps://www.facebook.com/100001331374768/posts/1420324308021935/
55,  地球温暖化や食料、水資源の枯渇など人類共通の脅威に目を向ける。
56,  国軍の創設、核武装の実現。日米同盟の更なる深化。\n
57,  今までの姿勢である国連重視、経済協力、非軍事協力を推し進める。国民は自虐的にならない歴史観を学び、他国との対話を深める。しかし東アジア情勢の変化のために自衛隊の憲法明記は必要。
58,  したくないことはしない  戦争は国家が国民に殺人をさせる事\u3000人を殺すと普通の人間は狂う\u3000狂わない人間は元から狂っている\u3000だから、したくないことをしないと心する\u3000
59,  フィリピンやベトナムなどのように海洋進出に熱心な中華人民共和国に国土(特に沖縄、尖閣なとの島嶼)を奪われないように軍備すること。\n軍事力を放棄した後、火事場泥棒て奪われた北方領土、竹島を\nロシア、韓国から返してもらう事。方法は問わない。\n\nその上でスイス以上の軍備を備え、攻められない、かつ、\n米軍に頼らない専守防衛の国にすべき。\n\n今は昔と違い大陸も半島も国防の為に要らないから、\n日本は軍備を怠りなくし、守りを固めるべき。\n
60,  自衛隊が核武装する。
61,  適正な軍事力を有し、適切に運用していく
62,  74年前に終わった戦争のあれこれについて、もっと興味を持ち、知ることが必要だと思います。過去の過ちも知らないと避けようがない。
63,  列強諸国との集団安全保障体制強化と周辺諸国と釣り合いの取れた軍事力の整備。そしてそれを担保する経済力の強化。\nまた、国民レベルで軍事、地政学に対する教育/研究のレベルを強化する。
64,  政府がアメリカとの協調姿勢を弱め、直接関係のない戦争に巻き込まれないようにする。
65,  軍事的独立が必要と思う。\n思うにアメリカ人は好戦的な傾向がある。日本や欧州ほど戦争の悲劇を体験していないためだろう。アメリカと同盟していれば、アメリカの戦争に巻き込まれる可能性大である。アメリカやその他の国と軍事同盟を結ぶのはよいとしても、日本としてどうすれば自国の安全を確保できるか考えて判断しなければならない。憲法９条・日米安保の体制では、日本はアメリカと同盟を維持する以外に選択肢が無くなってしまう。
66,  某半島と某宗教を\n殲滅する！\n何だかんだ言って戦争したがるのその二つだと思う
67,  憲法改正し武力を保持した上での対話。\n古いアメリカ製の憲法に手足を縛られ近隣国に舐められ民間人や領土を奪われたまま取り返せない今のままでは危険だ。
68,  正しい歴史教育をし直し、日本人としての正義を世界に発信する。と、同時に日米同盟を保ちつつも、憲法を改正し、主権国家としての完全なる独立を果たす。
69,  国境を無くす
70,  周辺諸国全部併合
71,  他国から嫌なことをされたらはっきりと嫌だと言う。安全保障への侵害に対しては明確に反論する。軍備もある程度は必要だが、軍備に代わる代替手段についても研究する。
72,  戦争権を政府が放棄する。\n政府とは異なる機構として完全無人化した軍隊を設ける。防衛活動、戦闘行為などはすべてそこに一任する。
73,  戦争で得をする、儲かるシステムを根絶する。感情だけでなく得する人がいるから戦争は絶えない。
74,  反出生主義を掲げて居なくなる。
75,  戦争、核兵器、原発に反対する意志を持つ市民一人ひとりが住民票に「平和市民」として登録出来る制度を「平和市長会議」に参画する世界中の行政区が率先して構築する。\n誰が戦争を拒否しているのか、或いは許容乃至は推進しているのか、自らの意志で表明可能な仕組みを創る。\n匿名性を隠れ蓑にして排他的、攻撃的指向性を表明する行為を無力化し、協調性を共有可能な個人や集団が経済的に有意な結び付きを形成出来るようにする。
76,  全世界が、SDGsの16番目だけではなく17個すべての目標を達成し、なおかつ、戦争すると金が儲かる仕組みをしらみつぶしにすべてなくす。
77,  国民が選挙でまともな人を選ぶ
78,  国際的な問題（身近な問題も）は、武力や暴力で解決するのではなく、時間をかけてでも対話で解決することがそれぞれの人権を尊重することだということを、様々な方法で発信する。
79,  自衛隊を国防軍にする。\n\n各地の米軍駐留基地から米軍に出てもらい\n国防軍が引き継ぐ。\n\nアメリカとの対等の軍事同盟をする。\n\n日本も核武装をする。\n\n綺麗事の歴史教育はしない。\n\n大航海時代からの世界史をきっちり教え\n軍事力の背景が有っての\n外交力と言うのが\n世界の常識であるリアルを教える。
80,  全国民が戦後の７４年が人類の歴史史上いかに貴重で幸福な時代であるのかを再確認し、また、それを継続、発展させるにはどうすれば良いのかを話し合える世界がどれだけ素晴らしいことかということを再認識し（それが可能になった理由、歴史も含めて）、そのような対話の機会を設けることを義務付ける。
81,  全員まとめてオタクになって推しについて語っとけばいい、地雷？それはどうしようもないから自衛しやがれ
82,  政治を他人事にしない正しい教育と自衛隊の兵器以外の装備強化。\n戦争とは戦闘を行う軍人さんが行うのではなく私達一国民が家族や友知人を守る為まずは選挙で各々の思う正しく理想的な代表(政治家)を選ぶところから始まっていることを自覚する。\n選んだ政治家(与党)が国民の代わりに自衛隊へ戦闘を依頼、そして自分や父兄の代わりに自衛隊の皆さんが戦い傷付いている事を絶対に忘れてはいけない。\n自衛隊もどこかの誰かの軍人さんではない同じ国民で有る事も忘れてはいけない。自衛隊として働く家族を無事に帰す為にも予算の増額が必要。新兵器や核兵器以前にそもそも遠方での演習へ向かう時高速道路すら乗れない、身を守る防具やサバイバルツールですら十分に支給されず個人で買い揃えている現状はもっと知られるべき。\nなんとなく名前を書いた一票が、なーんかとられてる税金が、自衛隊の命に関わる事を忘れてはいけない。\n忘れない事で自分で考え、政治に参加(含む投票)し平和が作れる国家・外交ができると思う。
83,  政府が鎖国を発令し、なるべく海外と関わり合いがないようにする。
84,  主権在民・戦争放棄・基本的な人権の尊重♡で一番肝心なのが『人権の尊重♡』夫婦間でも、親子でも、友達でも、先輩・後輩でも、生徒・先生でも、皆それぞれ違った考えがあります（同じではありません）だからこそ♡必要なのであります。\n
85,  「われらは、全世界の国民が、ひとしく恐怖と欠乏から免かれ、平和のうちに生存する権利を有することを確認する。」(日本国憲法前文より一部抜粋)\nこれを国連憲章に入れ、国連に加入している諸国及び地域の憲法に入れてもらう。
86,  世界中の国々の間で、人、経済、物流などあらゆる面での交流を深め、他国への依存がないと国民が不利益を被る状況を作り上げる。そのために全ての国が民主化されることが大切。民主国家では、少しでも国民に不利益があると政権が打撃を受けるから。
87,  若者の語学を学ぶ機会を増やす。英語＋αのマルチリンガルな国民を増やす。
88,  しっかり法整備と軍備すれば近隣諸国に舐められない！
89,  日本国憲法、人権教育、主権者教育についてしっかり教育をする。その上で、米軍には立ち去って頂き、国防をどのように考えていくか、国民的議論をしていく。コスタリカのような形を取るのか、はたまた自国の軍隊を持つのか、それも含めた憲法改正についての議論は、米国の支配下から脱却し、しっかりとした民主主義が国民に根づいてからの話。
90,  各国のリーダー達が、意地を張らずに話し合い、外交努力に務め、然し、殺人鬼のような孤立独裁者を秘かに暗殺する
91,  米中露の勢力圏の境界に位置する以上、今まで運が良かっただけで、今この瞬間も戦争の脅威に晒されていると自分は思っています。\nですが武力を行使すると言う選択は絶対に間違いです。\n日本は自国の物資・人材が少ないと言う、致命的な弱点があります。\n前大戦では戦争が長期化したことで体力が尽き、その結果戦線が崩壊して敗戦しました。\n歴史的に弱点を晒し、しかもそれが克服できる宛てもないのに、軍事力でどうにかすると言う考えは全くの愚行です。\n\n日本が生き残るために取るべき道は、敵を作らず、有事に駆け付けてくれる友好国を増やすこと。\n挑発や理不尽に対してぐっと怒りを堪えること。報復しないこと。\nそして国際社会に利益をもたらす活動を行い、世界の注目を集め、米中露の動きを牽制し続ける。\nそのために日本に出来ることを模索し、それを究めていくことが必要だと思います。
92,  自分と他人との違うところを知り同じところを知ること。\nそして、違うところはちゃんと認めて平等にできる所は平等にすればいいと思う。
93,  世界中の人々が戦争は意味のないことだというのを知ること
94,  義務教育の小学校のうちから戦争経験者・被爆者から話を聞く時間をとり、『戦争・原爆は絶対にしてはいけないもの』という認識を持たせる。更に、『どうして戦争・原爆をしてはいけないのか』『戦争・原爆をするとどうなるのか』『戦争・原爆をなくす為にはどうすればいいか』等のテーマを持って、生活班や学級等のグループで話し合わせる。そうすることで未来を担っていく子供達に戦争・原爆への理解や正しい知識、戦争の悲惨な歴史を教訓として残せると考える。
95,  長期的には、アメリカに頼りっぱなしの体制を脱却し、近隣諸国との関係の中で安定的な防衛体制を構築する必要がある。
96,  富国強兵
97,  個人が心身共に強くなり、劣等感から来る攻撃性を制御出来るようにする。\n「強くなければ生きていけない。優しくなければ生きている資格は無い。」
98,  隣国を始めとする多くの国と経済協力やパートナーシップの強化に努めて強力な経済圏を作り、武力衝突のメリットを最小化する。そのためには文化活動などの相互理解は不可欠。
99,  戦え！って言われたら、みんな一斉に「やだ！」と言って参戦しない。兵士がいなけりゃ戦争はできない。それが一番。
100,  反日政治家、活動家を抹殺する
101,  「日本国民の不利益になるような戦争」を始めない仕組み作りが重要。\nそのためには、全体主義・軍国主義を避ける必要がある。個人が矮小化される社会、軍が自らの利益を追求する社会が始めようとする戦争は、間違いなく、自国民のためにならない。\nそのための下地として、体制を自由に批評するメディア、スローガンに騙されない国民、三権分立が必要になる。\n\nまた、戦争は、勝ってもその対価を長年払わされるということを認識する必要がある。勝っても長い目で見ると自国の利益にならないケースは決して少なくない。相手国の恨みを買うと、長年悩まされることになる。アメリカが過去数十年の間に中東地域から買ってきた恨みが、今どんな悩みをアメリカにもたらしているか、見れば明らかである。\n\nさらに、戦争は、とてもお金がかかる。\n\n「戦争は、勝っても負けても自国民の巨大なリスクである」ということを全国民が認識する必要がある。\n\nそのためには、繰り返しだが、自由なメディア、スローガンに騙されない国民、三権分立が必要。\n\nスローガンに騙されない国民を作るためには、リテラシーを教育すべき。
102,  誰も住みたがらない、価値のない国、土地に移住すればいい。
103,  国をやめる。いろんな人がすむいろんな地域があり、資源と技術を協力し合う。
104,  全ての大使館領事と毎日、飲み会を行いその全員と平和について激論をする。と、毎日、発展的な多くの妥協が生まれ、その妥協を本国とも共有しながら、次第に大きな大きなグループとなり、『争いなんてバカみたいなことはやめろ❗』と唱え、そんな事より、地球温暖化を世界中で食い止め、頭を冷やせと唱える。この行動を毎日各国で行う。当然、一般人も参加出来るように配慮する。\nとにかく、話し合いを始める。
105,  自衛隊は災害救助に特化し、積極的に海外にも助けに行き、各国に恩を売る。原発も撤廃する。
106,  宗教戦争も、領土問題のいざこざから生まれた戦争も、政治的混乱から生まれた戦争も、「無くす、戦争をさせない」とすることは不可能に近い。\nだって戦争の根本は何かの生理的欲求が元になっている事がほとんどなのだから。\n領土が欲しい、資源が欲しい、それは国家の生理的欲求。\n信者を増やしたい、自分の信じる宗教が正しいと証明したいのも宗教の生理的欲求。\n貧困を解決したい、政治が混乱しているから強く正しい指導者が欲しいというのだってそう。\nその欲求をどう宥めるかを考えなければ同じことの繰り返し。
107,  政府が積極的に最新兵器を導入し、抑止力を強化。\n\n
108,  国際社会で戦争違法化を実現する。すべての兵器製造をコントロールする。
109,  近隣に平和と豊かさを\u3000啓蒙していく\n戦争は貧困が原因だから
110,  やったら、やりかえす、\nなら、過去の愚行を繰り返すだけ\nやはり、後世へ\n戦争はすべての人、動物を不幸に、悲しみと絶望しかうまれないことを語り継いでいくしかないと思います
111,  日本の企業が、海外進出をすることで、日本と利害関係のある国を増やす。
112,  外務大臣が、密に海外の大臣と上手に交渉していく。
113,  政府がアメリカとの協調姿勢を強化し、侵略されない体制を作る。
114,  核武装、防衛費4倍、軍需景気で景気回復！\n
115,  地球のことだけを考えるのを止める。
116,  近隣諸国と揉め事があつた
117,  誰もが、自分がされたら嫌なことを他の誰かに対してしない、を徹底する。\n自分の家から追い出されるのがいやなら、誰かをその人の家から追い出すこともしない。自分の家に誰かが押し入ってくるのがいやなら、誰かの家に押し入ることもしない。勿論、他の誰かに指示してやらせたりもしない。
118,  積極的に異文化やその背景を知り、認め合う。\nそのために歴史や社会への関心を深めることも大事だと思う。
119,  相互理解
120,  アメリカの基地撤廃、日米安保条約解消、完全な独立国に先ずはなる。\n自衛隊も最低限の武器に留める。\n全ての国家と文化経済面での繋がりを深め、全ての国と不可侵平和条約を結ぶ。\n最終的には永世中立国として軍隊を放棄する。\n第二第三の被爆国を作らない為にも、これ以外日本が選択する道は無い。\n
